int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
229,2021-01-11,10,355983.8128,15,1523,0.008157106,290.3797857,0.01223566,0.804940847,29.53618964,-98.41482626
230,2021-01-11,10,589931.9856,27,2904,0.004006095,236.3323452,0.010816456,0.859571816,29.60462693,-98.45243948
231,2021-01-11,1,742291.3264,18,3008,0.000352036,261.3132937,0.006336649,0.944354491,29.60478663,-98.45190628
232,2021-01-11,17,560838.7335,111,2934,0.005846639,192.883637,0.038175116,0.991020193,29.6009709,-98.43700739
233,2021-01-11,4,450665.1382,20,1411,0.002973869,335.0548038,0.014869346,0.95325941,29.54430829,-98.45881069
234,2021-01-11,3,496355.5375,4,1612,0.001934642,320.0901143,0.002579523,0.961956807,29.5459774,-98.46921411
236,2021-01-11,13,426692.0161,84,1603,0.009209953,302.2933438,0.059510466,0.880546733,29.55047185,-98.47553187
237,2021-01-11,19,358547.6188,9,1215,0.022905946,432.2564416,0.010850185,0.682698723,29.55954795,-98.5025202
238,2021-01-11,1,92402.92502,1,1220,0.001109958,102.5633975,0.001109958,0.738471076,29.40895056,-98.38936333
240,2021-01-11,20,245662.7707,63,1825,0.010075025,123.7529259,0.031736328,1.087729736,29.3946794,-98.38917553
241,2021-01-11,3,308484.7854,5,1510,0.002612546,268.6435464,0.004354243,0.76046703,29.36876044,-98.39582918
243,2021-01-11,17,815919.4879,282,3357,0.005350819,256.8139936,0.088760653,0.946405555,29.58915505,-98.61414086
244,2021-01-11,11,1538609.616,24,5225,0.004566185,638.6886845,0.009962585,0.461055201,29.45961571,-98.48126601
245,2021-01-11,19,312237.8309,26,2758,0.007606631,125.0041041,0.010409074,0.905663755,29.60049793,-98.42355455
246,2021-01-11,9,393464.4187,82,1642,0.006263061,273.8101689,0.057063442,0.875150487,29.37582743,-98.39379788
247,2021-01-11,10,559402.3237,11,2441,0.00517465,289.4711245,0.005692115,0.791682852,29.60229994,-98.36002666
248,2021-01-11,27,788181.0865,76,3583,0.008476511,247.4453897,0.023859808,0.888996056,29.38669082,-98.47221596
249,2021-01-11,26,1307729.65,992,5698,0.004757065,239.2675179,0.181500341,0.959205768,29.48542501,-98.59185817
250,2021-01-11,37,809652.1678,556,4759,0.00838912,183.5748487,0.126063537,0.926764947,29.48928596,-98.56941059
251,2021-01-11,75,1040277.383,600,4247,0.019657499,272.6566828,0.157259989,0.898360708,29.48928036,-98.5641425
252,2021-01-11,33,1017295.883,112,4905,0.007004147,215.9178827,0.023771651,0.960549306,29.4901075,-98.56180215
253,2021-01-11,63,1070878.133,127,3402,0.026768515,455.012973,0.053961927,0.691802237,29.45194847,-98.48323381
254,2021-01-11,12,340821.3619,14,1830,0.010141994,288.0506739,0.011832326,0.646557006,29.37905305,-98.71207148
255,2021-01-11,18,222223.9086,32,1890,0.011780179,145.4354109,0.02094254,0.808460518,29.45827042,-98.40429903
256,2021-01-11,15,694851.5646,30,3109,0.006580738,304.8424197,0.013161477,0.733155197,29.60375347,-98.44765279
257,2021-01-11,15,48277.38239,50,706,0.036630052,117.8935357,0.122100174,0.580028083,29.4195153,-98.38913207
258,2021-01-11,7,406354.8772,13,2580,0.003169946,184.0175971,0.005887043,0.855906679,29.60172251,-98.40688796
259,2021-01-11,33,503255.5208,57,3322,0.014976977,228.4014119,0.025869325,0.663269666,29.60883854,-98.49454552
260,2021-01-11,4,422313.0768,9,3812,0.001437368,151.754779,0.003234077,0.730027568,29.51595826,-98.45140089
261,2021-01-11,24,839194.5768,26,4743,0.005595143,195.6422465,0.006061405,0.904371573,29.55493878,-98.48591165
262,2021-01-11,21,569286.6793,27,2691,0.009929792,269.1856239,0.012766875,0.785896694,29.60109847,-98.41591976
263,2021-01-11,1,454682.1642,5,2053,0.000493292,224.2911986,0.002466461,0.987430954,29.40620607,-98.60910971
267,2021-01-11,1,199050.176,3,1736,0.000689558,137.2565776,0.002068673,0.835371548,29.40690118,-98.60417984
268,2021-01-11,1,486529.3002,5,2058,0.000518025,252.0341495,0.002590123,0.938003027,29.40703858,-98.60424937
271,2021-01-11,46,757609.6882,82,3040,0.017498174,288.1909984,0.031192397,0.864751899,29.57583444,-98.34010698
272,2021-01-11,19,642823.8596,99,2578,0.008633692,292.1022648,0.044986078,0.853638808,29.58804813,-98.62450567
273,2021-01-11,18,1023806.15,1207,4037,0.004959022,282.059823,0.332529948,0.899120202,29.47268199,-98.61259019
